TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,Player_ID,PLAYER_NAME,MINS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PACE_PER40,POSS,PIE,Game_ID
1610612739,CLE,Cleveland,1630596,Evan Mobley,30.83,100,103.1,-3.1,0.056,0,8.3,0,0.353,0.176,0,0.65,0.707,0.159,100.41,83.68,64,0.196,22400543
1610612739,CLE,Cleveland,1628386,Jarrett Allen,25.38,86.8,100,-13.2,0.231,3,23.1,0.103,0.194,0.15,7.7,0.5,0.637,0.172,101.17,84.31,53,0.183,22400543
1610612739,CLE,Cleveland,1628378,Donovan Mitchell,30.83,100,103.1,-3.1,0.059,0.33,4.5,0.059,0.029,0.044,13.6,0.5,0.531,0.304,100.41,83.68,64,0.072,22400543
1610612739,CLE,Cleveland,1629636,Darius Garland,29.02,98.3,101.6,-3.3,0.5,1.75,25,0,0.028,0.015,14.3,0.531,0.577,0.323,100.08,83.4,60,0.108,22400543
1610612739,CLE,Cleveland,1629622,Max Strus,22.95,68,111.8,-43.8,0.111,0.5,11.1,0,0.154,0.074,22.2,0.25,0.25,0.154,105.62,88.02,50,-0.013,22400543
1610612739,CLE,Cleveland,1627747,Caris LeVert,22.45,78,118.4,-40.4,0.167,2,28.6,0,0.167,0.082,14.3,0,0.258,0.096,105.84,88.2,50,0.029,22400543
1610612739,CLE,Cleveland,1627777,Georges Niang,19.57,88.6,115.9,-27.3,0,0,0,0,0,0,25,0.583,0.583,0.182,107.9,89.92,44,0.016,22400543
1610612739,CLE,Cleveland,1630171,Isaac Okoro,18.15,109.1,114.7,-5.6,0.167,0,25,0,0,0,0,0.2,0.255,0.176,88.6,73.83,33,-0.02,22400543
1610612739,CLE,Cleveland,1630241,Sam Merrill,11.78,118.2,113,5.1,0.556,0,50,0,0.182,0.091,0,0.3,0.3,0.217,91.65,76.38,22,0.093,22400543
1610612739,CLE,Cleveland,202684,Tristan Thompson,2.73,140,100,40,0,0,0,0,0,0,0,1,1,0.4,87.8,73.17,5,0.258,22400543
1610612739,CLE,Cleveland,1642281,Jaylon Tyson,2.73,140,100,40,0.333,0,50,0,0,0,0,0,0,0.2,87.8,73.17,5,0,22400543
1610612739,CLE,Cleveland,1641854,Craig Porter Jr.,2.73,140,100,40,0,0,0,0,0,0,0,1,1,0.2,87.8,73.17,5,0.129,22400543
1610612739,CLE,Cleveland,1629731,Dean Wade,21.45,136.4,106.7,29.7,0,0,0,0.045,0.105,0.073,0,0,0,0.059,99.58,82.98,44,-0.028,22400554
1610612739,CLE,Cleveland,1630596,Evan Mobley,32.57,123.6,109.9,13.8,0.048,1,6.3,0.097,0.303,0.203,6.3,0.792,0.775,0.181,105.38,87.82,72,0.18,22400554
1610612739,CLE,Cleveland,1628386,Jarrett Allen,32.00,131.9,118.8,13,0.077,2,16.7,0,0.3,0.148,8.3,0.833,0.926,0.125,103.5,86.25,69,0.142,22400554
1610612739,CLE,Cleveland,1628378,Donovan Mitchell,31.32,127.1,113.4,13.7,0.176,1.5,10,0.067,0.226,0.148,6.7,0.587,0.66,0.333,104.99,87.49,70,0.214,22400554
1610612739,CLE,Cleveland,1629636,Darius Garland,34.90,127.4,116.2,11.2,0.318,1.75,22.6,0.028,0,0.014,12.9,0.556,0.581,0.282,101.09,84.24,73,0.084,22400554
1610612739,CLE,Cleveland,1627747,Caris LeVert,26.75,122,108.6,13.4,0.304,2.33,38.9,0.167,0.037,0.098,16.7,0.25,0.451,0.162,104.97,87.48,59,0.094,22400554
1610612739,CLE,Cleveland,1629622,Max Strus,21.82,131.3,126.1,5.2,0.222,0,30.8,0,0.154,0.089,0,0.75,0.732,0.167,103.41,86.17,48,0.129,22400554
1610612739,CLE,Cleveland,1627777,Georges Niang,17.38,115.4,123.1,-7.7,0,0,0,0.118,0.048,0.079,16.7,0.7,0.7,0.133,107.69,89.74,39,0.045,22400554
1610612739,CLE,Cleveland,1630171,Isaac Okoro,6.70,100,78.6,21.4,0.2,0,25,0,0.143,0.071,0,0,0,0.176,96.72,80.6,13,-0.154,22400554
1610612739,CLE,Cleveland,1630241,Sam Merrill,12.15,87,112.5,-25.5,0,0,0,0.063,0,0.032,16.7,0.3,0.3,0.207,92.84,77.37,23,-0.045,22400554
1610612739,CLE,Cleveland,1641854,Craig Porter Jr.,1.48,0,133.3,-133.3,0,0,0,0,0,0,100,0,0,0.25,97.08,80.9,3,-0.4,22400554
1610612739,CLE,Cleveland,1642281,Jaylon Tyson,1.48,0,133.3,-133.3,0,0,0,0,0,0,0,0,0,0,97.08,80.9,3,0,22400554
1610612754,IND,Indiana,1631097,Bennedict Mathurin,31.48,116.4,133.3,-16.9,0.091,0.67,11.8,0.033,0.086,0.062,17.6,0.792,0.764,0.2,101.39,84.49,67,0.093,22400554
1610612754,IND,Indiana,1627783,Pascal Siakam,33.73,116.2,132.9,-16.7,0.174,4,19,0.061,0.179,0.115,4.8,0.688,0.7,0.205,104.58,87.15,74,0.141,22400554
