TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,Player_ID,PLAYER_NAME,MINS,SPD,DIST,TCHS,PASS,CFGA,UFGA,DFGA,Game_ID
1610612749,MIL,Milwaukee,201572,Brook Lopez,24.10,4.21,1.76,30,21,3,5,9,22400684
1610612749,MIL,Milwaukee,1641748,Andre Jackson Jr.,14.95,5.01,1.3,24,16,2,5,3,22400684
1610612749,MIL,Milwaukee,203081,Damian Lillard,37.48,4.25,2.79,93,67,3,14,3,22400684
1610612749,MIL,Milwaukee,1631260,AJ Green,17.63,4.77,1.5,14,11,1,2,2,22400684
1610612749,MIL,Milwaukee,203114,Khris Middleton,22.65,4.37,1.75,45,33,0,9,2,22400684
1610612749,MIL,Milwaukee,1629018,Gary Trent Jr.,24.05,3.99,1.7,16,8,1,6,1,22400684
1610612749,MIL,Milwaukee,1631157,Ryan Rollins,10.52,4.73,0.89,20,13,1,4,1,22400684
1610612749,MIL,Milwaukee,1626192,Pat Connaughton,13.48,4.7,1.12,25,21,1,2,3,22400684
1610612749,MIL,Milwaukee,1630699,MarJon Beauchamp,3.77,3.84,0.26,6,4,0,1,0,22400684
1610612749,MIL,Milwaukee,1641753,Chris Livingston,3.77,4.32,0.29,11,9,1,0,1,22400684
1610612749,MIL,Milwaukee,1630649,Stanley Umude,3.77,4.29,0.29,2,0,1,1,1,22400684
1610612759,SAS,San Antonio,1642264,Stephon Castle,30.10,4.29,2.26,59,39,6,8,0,22400684
1610612759,SAS,San Antonio,203084,Harrison Barnes,25.25,4.45,1.95,50,34,6,6,4,22400684
1610612759,SAS,San Antonio,1641705,Victor Wembanyama,30.50,4.18,2.23,55,29,8,12,11,22400684
1610612759,SAS,San Antonio,1630170,Devin Vassell,27.35,4.38,2.1,43,30,4,9,3,22400684
1610612759,SAS,San Antonio,101108,Chris Paul,26.45,3.72,1.72,58,49,0,8,2,22400684
1610612759,SAS,San Antonio,1629640,Keldon Johnson,25.33,4.23,1.9,47,30,2,13,2,22400684
1610612759,SAS,San Antonio,1631110,Jeremy Sochan,21.93,4.44,1.72,25,20,4,0,3,22400684
1610612759,SAS,San Antonio,1630200,Tre Jones,16.73,4.54,1.34,43,36,0,5,1,22400684
1610612759,SAS,San Antonio,1630577,Julian Champagnie,17.52,4.69,1.45,23,18,0,5,1,22400684
1610612759,SAS,San Antonio,1631104,Blake Wesley,3.77,4.55,0.31,14,11,0,1,1,22400684
1610612759,SAS,San Antonio,1628380,Zach Collins,3.77,3.67,0.25,7,6,0,1,1,22400684
1610612759,SAS,San Antonio,1630572,Sandro Mamukelashvili,3.77,3.9,0.26,7,3,2,1,2,22400684
1610612759,SAS,San Antonio,1631321,Sidy Cissoko,3.77,4.02,0.27,4,3,0,0,0,22400684
1610612759,SAS,San Antonio,1631103,Malaki Branham,3.77,3.62,0.25,4,3,0,1,1,22400684
1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,35.92,4.01,2.59,93,59,16,8,3,22400662
1610612749,MIL,Milwaukee,1627752,Taurean Prince,19.98,4.08,1.44,19,14,3,2,4,22400662
1610612749,MIL,Milwaukee,201572,Brook Lopez,34.73,3.69,2.27,35,22,2,10,6,22400662
1610612749,MIL,Milwaukee,1641748,Andre Jackson Jr.,26.12,4.78,2.27,41,33,1,2,5,22400662
1610612749,MIL,Milwaukee,203081,Damian Lillard,38.42,3.94,2.68,75,52,5,12,3,22400662
1610612749,MIL,Milwaukee,203114,Khris Middleton,15.47,4.23,1.16,16,12,1,1,1,22400662
1610612749,MIL,Milwaukee,1629018,Gary Trent Jr.,27.43,3.79,1.85,26,15,2,9,1,22400662
1610612749,MIL,Milwaukee,1631157,Ryan Rollins,15.15,4.4,1.29,26,18,1,4,0,22400662
1610612749,MIL,Milwaukee,1626192,Pat Connaughton,13.57,4.66,1.1,23,17,0,5,1,22400662
1610612749,MIL,Milwaukee,1630699,MarJon Beauchamp,6.45,3.86,0.46,4,3,0,1,0,22400662
1610612749,MIL,Milwaukee,1630649,Stanley Umude,3.38,4.16,0.26,7,3,0,2,0,22400662
1610612749,MIL,Milwaukee,1641753,Chris Livingston,3.38,4.57,0.28,2,2,0,0,2,22400662
1610612757,POR,Portland,203924,Jerami Grant,15.63,4.05,1.14,21,15,1,3,2,22400662
1610612757,POR,Portland,1641739,Toumani Camara,39.73,4.5,3.22,48,36,2,4,2,22400662
1610612757,POR,Portland,1629028,Deandre Ayton,34.27,3.96,2.42,59,35,10,9,9,22400662
1610612757,POR,Portland,1630166,Deni Avdija,37.92,4.22,2.82,89,59,10,8,8,22400662
1610612757,POR,Portland,1629014,Anfernee Simons,38.35,4.37,3.02,55,36,7,10,2,22400662
1610612757,POR,Portland,1630703,Scoot Henderson,26.73,4.23,1.98,56,46,2,5,3,22400662
1610612757,POR,Portland,1631101,Shaedon Sharpe,30.85,4.14,2.31,40,22,3,11,4,22400662
1610612757,POR,Portland,1642270,Donovan Clingan,10.62,4.21,0.8,14,11,2,0,3,22400662
1610612757,POR,Portland,1631133,Jabari Walker,1.18,3.53,0.08,4,3,1,0,0,22400662
1610612757,POR,Portland,1641871,Duop Reath,1.18,3.2,0.08,0,0,0,0,0,22400662
1610612757,POR,Portland,1631200,Kris Murray,1.18,3.3,0.08,0,0,0,0,0,22400662
1610612757,POR,Portland,1641712,Rayan Rupert,1.18,3.97,0.09,2,2,0,0,0,22400662
1610612757,POR,Portland,1631121,Bryce McGowens,1.18,4.25,0.1,4,2,0,0,1,22400662
